Epoch 0 Batch 0, Loss: 2.3364014625549316
Epoch 0 Batch 10, Loss: 1.832688570022583
Epoch 0 Batch 20, Loss: 1.423325538635254
Epoch 0 Batch 30, Loss: 0.93202143907547
Epoch 0 Batch 40, Loss: 0.7393221855163574
Epoch 0 Batch 50, Loss: 0.6033161282539368
Epoch 0 Batch 60, Loss: 0.6639515161514282
Epoch 0 Batch 70, Loss: 0.4058147072792053
Epoch 0 Batch 80, Loss: 0.47435808181762695
Epoch 0 Batch 90, Loss: 0.4229632616043091
Epoch 0 Batch 100, Loss: 0.8733671307563782
Epoch 0 Batch 110, Loss: 0.44836360216140747
Epoch 0 Batch 120, Loss: 0.2806365191936493
Epoch 0 Batch 130, Loss: 0.3474161922931671
Epoch 0 Batch 140, Loss: 0.625713050365448
Epoch 0 Batch 150, Loss: 0.5673458576202393
Epoch 0 Batch 160, Loss: 0.612453281879425
Epoch 0 Batch 170, Loss: 0.22797156870365143
Epoch 0 Batch 180, Loss: 0.32055267691612244
Epoch 0 Batch 190, Loss: 0.31920963525772095
Epoch 0 Batch 200, Loss: 0.3205428421497345
Epoch 0 Batch 210, Loss: 0.32563069462776184
Epoch 0 Batch 220, Loss: 0.262104332447052
Epoch 0 Batch 230, Loss: 0.17731693387031555
Epoch 0 Batch 240, Loss: 0.35510608553886414
Epoch 0 Batch 250, Loss: 0.2793206572532654
Epoch 0 Batch 260, Loss: 0.5646762251853943
Epoch 0 Batch 270, Loss: 0.20446719229221344
Epoch 0 Batch 280, Loss: 0.30570903420448303
Epoch 0 Batch 290, Loss: 0.31065258383750916
Epoch 0 Batch 300, Loss: 0.6872221827507019
Epoch 0 Batch 310, Loss: 0.5291993618011475
Epoch 0 Batch 320, Loss: 0.6132127642631531
Epoch 0 Batch 330, Loss: 0.45393460988998413
Epoch 0 Batch 340, Loss: 0.20295771956443787
Epoch 0 Batch 350, Loss: 0.5421559810638428
Epoch 0 Batch 360, Loss: 0.42782527208328247
Epoch 0 Batch 370, Loss: 0.32569241523742676
Epoch 0 Batch 380, Loss: 0.2243468165397644
Epoch 0 Batch 390, Loss: 0.5641641616821289
Epoch 0 Batch 400, Loss: 0.32214951515197754
Epoch 0 Batch 410, Loss: 0.3695999085903168
Epoch 0 Batch 420, Loss: 0.37630850076675415
Epoch 0 Batch 430, Loss: 0.3234720826148987
Epoch 0 Batch 440, Loss: 0.5517525672912598
Epoch 0 Batch 450, Loss: 0.6624297499656677
Epoch 0 Batch 460, Loss: 0.4738878905773163
Epoch 0 Batch 470, Loss: 0.2825470268726349
Epoch 0 Batch 480, Loss: 0.21410661935806274
Epoch 0 Batch 490, Loss: 0.2572120428085327
Epoch 0 Batch 500, Loss: 0.23928794264793396
Epoch 0 Batch 510, Loss: 0.1917787343263626
Epoch 0 Batch 520, Loss: 0.3204038143157959
Epoch 0 Batch 530, Loss: 0.14541460573673248
Epoch 0 Batch 540, Loss: 0.752652108669281
Epoch 0 Batch 550, Loss: 0.2252274453639984
Epoch 0 Batch 560, Loss: 0.4815233051776886
Epoch 0 Batch 570, Loss: 0.6232585310935974
Epoch 0 Batch 580, Loss: 0.4080083966255188
Epoch 0 Batch 590, Loss: 0.204076886177063
Epoch 0 Batch 600, Loss: 0.13085150718688965
Epoch 0 Batch 610, Loss: 0.2759477496147156
Epoch 0 Batch 620, Loss: 0.1699938178062439
Epoch 0 Batch 630, Loss: 0.2733607888221741
Epoch 0 Batch 640, Loss: 0.16923661530017853
Epoch 0 Batch 650, Loss: 0.24287256598472595
Epoch 0 Batch 660, Loss: 0.22605235874652863
Epoch 0 Batch 670, Loss: 0.43414968252182007
Epoch 0 Batch 680, Loss: 0.2883548438549042
Epoch 0 Batch 690, Loss: 0.20143669843673706
Epoch 0 Batch 700, Loss: 0.16254591941833496
Epoch 0 Batch 710, Loss: 0.1507657766342163
Epoch 0 Batch 720, Loss: 0.17568057775497437
Epoch 0 Batch 730, Loss: 0.1913832724094391
Epoch 0 Batch 740, Loss: 0.28624600172042847
Epoch 0 Batch 750, Loss: 0.23890453577041626
Epoch 0 Batch 760, Loss: 0.2135157734155655
Epoch 0 Batch 770, Loss: 0.49410372972488403
Epoch 0 Batch 780, Loss: 0.19702160358428955
Epoch 0 Batch 790, Loss: 0.495655357837677
Epoch 0 Batch 800, Loss: 0.3073548674583435
Epoch 0 Batch 810, Loss: 0.1208050549030304
Epoch 0 Batch 820, Loss: 0.36174476146698
Epoch 0 Batch 830, Loss: 0.6857351660728455
Epoch 0 Batch 840, Loss: 0.2904556095600128
Epoch 0 Batch 850, Loss: 0.3061935007572174
Epoch 0 Batch 860, Loss: 0.14086860418319702
Epoch 0 Batch 870, Loss: 0.2013392299413681
Epoch 0 Batch 880, Loss: 0.09901294857263565
Epoch 0 Batch 890, Loss: 0.20458772778511047
Epoch 0 Batch 900, Loss: 0.05764111131429672
Epoch 0 Batch 910, Loss: 0.40107521414756775
Epoch 0 Batch 920, Loss: 0.28642886877059937
Epoch 0 Batch 930, Loss: 0.20856866240501404
Epoch 1 Batch 0, Loss: 0.24638515710830688
Epoch 1 Batch 10, Loss: 0.2648617625236511
Epoch 1 Batch 20, Loss: 0.09491150826215744
Epoch 1 Batch 30, Loss: 0.23882219195365906
Epoch 1 Batch 40, Loss: 0.10313167423009872
Epoch 1 Batch 50, Loss: 0.3289942741394043
Epoch 1 Batch 60, Loss: 0.40240755677223206
Epoch 1 Batch 70, Loss: 0.19921109080314636
Epoch 1 Batch 80, Loss: 0.24223826825618744
Epoch 1 Batch 90, Loss: 0.13098667562007904
Epoch 1 Batch 100, Loss: 0.38856324553489685
Epoch 1 Batch 110, Loss: 0.1805199235677719
Epoch 1 Batch 120, Loss: 0.08257727324962616
Epoch 1 Batch 130, Loss: 0.10551522672176361
Epoch 1 Batch 140, Loss: 0.12050911784172058
Epoch 1 Batch 150, Loss: 0.4418901801109314
Epoch 1 Batch 160, Loss: 0.28348755836486816
Epoch 1 Batch 170, Loss: 0.05540255457162857
Epoch 1 Batch 180, Loss: 0.179268479347229
Epoch 1 Batch 190, Loss: 0.13119956851005554
Epoch 1 Batch 200, Loss: 0.07326172292232513
Epoch 1 Batch 210, Loss: 0.04370356351137161
Epoch 1 Batch 220, Loss: 0.06392877548933029
Epoch 1 Batch 230, Loss: 0.12003593891859055
Epoch 1 Batch 240, Loss: 0.17860868573188782
Epoch 1 Batch 250, Loss: 0.09047931432723999
Epoch 1 Batch 260, Loss: 0.28845295310020447
Epoch 1 Batch 270, Loss: 0.1593109369277954
Epoch 1 Batch 280, Loss: 0.1280888319015503
Epoch 1 Batch 290, Loss: 0.17620302736759186
Epoch 1 Batch 300, Loss: 0.25069594383239746
Epoch 1 Batch 310, Loss: 0.2771858870983124
Epoch 1 Batch 320, Loss: 0.42682185769081116
Epoch 1 Batch 330, Loss: 0.2909579873085022
Epoch 1 Batch 340, Loss: 0.04453064501285553
Epoch 1 Batch 350, Loss: 0.4220673441886902
Epoch 1 Batch 360, Loss: 0.2462928742170334
Epoch 1 Batch 370, Loss: 0.33844155073165894
Epoch 1 Batch 380, Loss: 0.12295284122228622
Epoch 1 Batch 390, Loss: 0.33182859420776367
Epoch 1 Batch 400, Loss: 0.2116345763206482
Epoch 1 Batch 410, Loss: 0.28374290466308594
Epoch 1 Batch 420, Loss: 0.1954040229320526
Epoch 1 Batch 430, Loss: 0.09380842745304108
Epoch 1 Batch 440, Loss: 0.3823451101779938
Epoch 1 Batch 450, Loss: 0.5132610201835632
Epoch 1 Batch 460, Loss: 0.4562990665435791
Epoch 1 Batch 470, Loss: 0.07856053113937378
Epoch 1 Batch 480, Loss: 0.06419895589351654
Epoch 1 Batch 490, Loss: 0.20444831252098083
Epoch 1 Batch 500, Loss: 0.05733909457921982
Epoch 1 Batch 510, Loss: 0.1545725017786026
Epoch 1 Batch 520, Loss: 0.28790414333343506
Epoch 1 Batch 530, Loss: 0.09606936573982239
Epoch 1 Batch 540, Loss: 0.5310753583908081
Epoch 1 Batch 550, Loss: 0.11488446593284607
Epoch 1 Batch 560, Loss: 0.3765994906425476
Epoch 1 Batch 570, Loss: 0.44619596004486084
Epoch 1 Batch 580, Loss: 0.2729613184928894
Epoch 1 Batch 590, Loss: 0.10456185787916183
Epoch 1 Batch 600, Loss: 0.07925668358802795
Epoch 1 Batch 610, Loss: 0.11698386818170547
Epoch 1 Batch 620, Loss: 0.08404218405485153
Epoch 1 Batch 630, Loss: 0.18797031044960022
Epoch 1 Batch 640, Loss: 0.0678931474685669
Epoch 1 Batch 650, Loss: 0.060227423906326294
Epoch 1 Batch 660, Loss: 0.11516209691762924
Epoch 1 Batch 670, Loss: 0.2105351686477661
Epoch 1 Batch 680, Loss: 0.14853283762931824
Epoch 1 Batch 690, Loss: 0.12093783915042877
Epoch 1 Batch 700, Loss: 0.12554219365119934
Epoch 1 Batch 710, Loss: 0.058721765875816345
Epoch 1 Batch 720, Loss: 0.11403422057628632
Epoch 1 Batch 730, Loss: 0.09595289826393127
Epoch 1 Batch 740, Loss: 0.1462731957435608
Epoch 1 Batch 750, Loss: 0.12974314391613007
Epoch 1 Batch 760, Loss: 0.10527688264846802
Epoch 1 Batch 770, Loss: 0.32075637578964233
Epoch 1 Batch 780, Loss: 0.0682714506983757
Epoch 1 Batch 790, Loss: 0.3040926158428192
Epoch 1 Batch 800, Loss: 0.13434746861457825
Epoch 1 Batch 810, Loss: 0.1051846444606781
Epoch 1 Batch 820, Loss: 0.1698017418384552
Epoch 1 Batch 830, Loss: 0.4783361256122589
Epoch 1 Batch 840, Loss: 0.19581128656864166
Epoch 1 Batch 850, Loss: 0.2202654480934143
Epoch 1 Batch 860, Loss: 0.07590712606906891
Epoch 1 Batch 870, Loss: 0.11902257055044174
Epoch 1 Batch 880, Loss: 0.04437452554702759
Epoch 1 Batch 890, Loss: 0.1071588397026062
Epoch 1 Batch 900, Loss: 0.026545749977231026
Epoch 1 Batch 910, Loss: 0.3724568486213684
Epoch 1 Batch 920, Loss: 0.2616480588912964
Epoch 1 Batch 930, Loss: 0.10144387185573578
Epoch 2 Batch 0, Loss: 0.1597818285226822
Epoch 2 Batch 10, Loss: 0.05934041738510132
Epoch 2 Batch 20, Loss: 0.06566590815782547
Epoch 2 Batch 30, Loss: 0.15195578336715698
Epoch 2 Batch 40, Loss: 0.0645943433046341
Epoch 2 Batch 50, Loss: 0.24292197823524475
Epoch 2 Batch 60, Loss: 0.275444358587265
Epoch 2 Batch 70, Loss: 0.12746116518974304
Epoch 2 Batch 80, Loss: 0.2489708960056305
Epoch 2 Batch 90, Loss: 0.08345328271389008
Epoch 2 Batch 100, Loss: 0.20137366652488708
Epoch 2 Batch 110, Loss: 0.09567581117153168
Epoch 2 Batch 120, Loss: 0.08248285204172134
Epoch 2 Batch 130, Loss: 0.041364748030900955
Epoch 2 Batch 140, Loss: 0.0859135240316391
Epoch 2 Batch 150, Loss: 0.39994990825653076
Epoch 2 Batch 160, Loss: 0.21351200342178345
